,cmc,color,name,type,star_score,board_ratio
1343,1,URH,TBLD Knack Charm,Flash Sorcery - Charm ,0,1.0
1602,4,U,TBLD Murk Strider,Creature - Eldrazi ,0,
1601,1,U,TBLD Mist Intruder,Creature - Eldrazi ,0,
1600,2,MUB,TBLD Fathom Feeder,Creature - Eldrazi ,0,
1599,3,MBR,TBLD Flayer Drone,Creature - Eldrazi ,0,
1598,2,MBR,TBLD Forerunner of Slaughter,Creature - Eldrazi ,0,
1597,5,G,TBLD Brood Monitor,Creature - Eldrazi ,0,
1596,7,B,TBLD Dread Defiler,Creature - Eldrazi ,0,
1595,4,B,TBLD Sifter of Skulls,Creature - Eldrazi ,0,
1594,4,B,TBLD Smothering Abomination,Creature - Eldrazi ,0,
1593,7,G,TBLD Birthing Hulk,Creature - Eldrazi ,0,
1603,2,U,TBLD Benthic Infiltrator,Creature - Eldrazi ,0,
1592,5,R,TBLD Barrage Tyrant,Creature - Eldrazi ,0,
1590,2,G,TBLD Void Attendant,Creature - Eldrazi ,0,
1588,2,W,TBLD Zen,Flash Sorcery,0,0.0
1586,2,G,TBLD Blessed Respite,Flash Sorcery,0,1.0
1585,7,G,TBLD Hunting Pack,Flash Sorcery,0,
1584,5,G,TBLD Scatter the Seeds,Flash Sorcery,0,1.0
1583,9,U,TBLD Mnemonic Deluge,Sorcery,0,
1582,2,R,TBLD Searing Spear,Flash Sorcery,0,1.0
1581,1,G,TBLD Serene Remembrance,Sorcery,0,
1580,5,G,TBLD Hammer of MatSelesnya,Sorcery,0,1.0
1578,3,G,TBLD Balga Sen Maneater,Creature - Hydra ,0,0.6666666666666666
1591,1,G,TBLD Blisterpod,Creature - Eldrazi ,0,
1604,6,U,TBLD Drowner of Hope,Creature - Eldrazi ,0,
1605,3,U,TBLD Eldrazi Skyspawner,Creature - Eldrazi ,0,
1606,3,R,TBLD Vile Aggregate,Creature - Eldrazi ,0,
1630,1,G,TBLD Charging Badger,Creature - Beast ,0,1.0
1629,1,B,TBLD Pulse Tracker,Creature - Vampire Rogue ,0,1.0
1628,3,B,TBLD Vito Thorn of the Dusk Rose,Legendary Creature - Vampire Cleric ,0,1.0
1627,2,G,TBLD Kuro the Unsought,Legendary Creature - Human Monk ,0,
1626,1,B,TBLD Blood Cult Ritualist,Creature - Vampire Cleric ,0,1.0
1625,2,MWU,TBLD Lavinia Azorius Paragon,Legendary Creature - Human Knight ,0,0.0
1624,4,MWU,TBLD Isperia Judge Supreme,Legendary Creature - Sphinx ,0,0.0
1623,3,W,TBLD Ajani Bane of Tyrants,Legendary Creature - Cat Warrior ,0,
1621,4,W,TBLD Fated Sovereign,Creature - Human Knight Noble ,0,1.0
1620,2,MWB,TBLD Cruel Celebrant,Creature - Vampire Noble ,0,1.0
1619,6,W,TBLD Conclave Equenaut,Flash Creature - Human Soldier ,0,
1618,3,G,TBLD Selesnya Eulogist,Creature - Centaur Shaman ,0,1.0
1617,2,HGW,TBLD Worldsoul Evangel,Creature - Elf Shaman ,0,1.0
1616,1,U,TBLD Salvage Drone,Creature - Eldrazi ,0,
1615,3,B,TBLD Silent Skimmer,Creature - Eldrazi ,0,
1614,2,B,TBLD Culling Drone,Creature - Eldrazi ,0,
1613,2,B,TBLD Bearer of Silence,Creature - Eldrazi ,0,
1612,1,B,TBLD Sludge Crawler,Creature - Eldrazi ,0,
1611,1,B,TBLD Reaver Drone,Creature - Eldrazi ,0,
1610,2,G,TBLD Vessel Drone,Creature - Eldrazi ,0,
1609,1,G,TBLD Stalking Drone,Creature - Eldrazi ,0,
1608,3,G,TBLD Scion Summoner,Creature - Eldrazi ,0,
1607,3,B,TBLD Dread Shade,Creature - Spirit ,0,
1577,2,C,TBLD Haughty Obstruction,Flash Sorcery,0,0.5
1631,2,MGU,TBLD Herald of the Lost Clans,Creature - Shapeshifter Shaman ,0,
1575,4,C,TBLD Core Zealot,Artifact Creature - Phyrexian Cleric ,0,1.0
1573,6,R,TBLD Pardic Dragon,Creature - Dragon ,0,1.0
1544,3,MRGW,TBLD Naya Ascendancy,Enchantment,0,
1543,3,MRWB,TBLD Mardu Ascendancy,Enchantment,0,
