,stars,lands,sorcery,enchant,creature,mv,white,blue,black,red,green
87,0,20,46,3,0,1.6470588235294117,0.0,0.0,0.0,0.8909090909090901,0.109090909090909
104,0,25,19,3,28,2.56,0.557142857142857,0.0,0.0,0.0,0.44285714285714206
103,0,20,19,3,29,1.8235294117647058,0.0,1.0,0.0,0.0,0.0
102,0,21,31,0,20,1.6274509803921569,0.0,0.0,0.629032258064516,0.0,0.37096774193548304
80,0,16,12,0,24,4.450980392156863,,,,,
81,0,16,15,0,36,1.490909090909091,1.0,0.0,0.0,0.0,0.0
100,0,21,31,0,20,1.6274509803921569,0.0,0.0,0.629032258064516,0.0,0.37096774193548304
82,0,22,18,2,29,1.4901960784313726,0.0,0.0,1.0,0.0,0.0
90,0,20,27,0,27,1.4814814814814814,0.0,0.28571428571428503,0.0,0.0,0.7142857142857141
88,0,20,30,7,12,1.5918367346938775,0.016666666666666,0.216666666666666,0.05,0.716666666666666,0.0
93,0,24,16,4,22,3.6904761904761907,0.0,0.0,0.73469387755102,0.0,0.265306122448979
84,0,22,16,4,33,2.4081632653061225,0.0,0.5344827586206891,0.46551724137931005,0.0,0.0
98,0,24,24,6,19,2.9411764705882355,0.413793103448275,0.0,0.36206896551724105,0.224137931034482,0.0
97,0,24,0,0,51,2.6666666666666665,0.0,0.0,0.0,0.37037037037037,0.6296296296296291
86,0,16,11,0,34,1.5636363636363637,1.0,0.0,0.0,0.0,0.0
95,0,17,31,0,17,1.36,0.0,0.453125,0.0,0.484375,0.0625
94,0,20,19,4,32,1.709090909090909,0.0,1.0,0.0,0.0,0.0
0,0,22,24,0,29,2.641509433962264,0.0,0.0,0.53125,0.0,0.46875000000000006
110,0,21,31,0,20,1.6274509803921569,0.0,0.0,0.4,0.0,0.6000000000000001
105,0,24,26,21,10,2.196078431372549,0.45,0.4,0.0,0.0,0.15
126,0,24,22,13,21,2.9019607843137254,0.0,0.569620253164557,0.0,0.43037974683544306,0.0
142,0,19,37,2,10,1.836734693877551,0.0,0.0,1.0,0.0,0.0
141,0,4,20,0,15,1.4603174603174602,0.210526315789473,0.36842105263157804,0.210526315789473,0.210526315789473,0.0
140,0,20,19,10,29,2.709090909090909,0.0,0.0,0.0,0.0,1.0
139,0,17,30,3,11,2.0454545454545454,0.0,0.9166666666666661,0.027777777777777003,0.055555555555555004,0.0
138,0,24,17,0,30,2.127659574468085,0.01,0.51,0.01,0.01,0.46
137,0,21,31,8,15,1.6111111111111112,0.0,0.0,0.43023255813953404,0.0,0.569767441860465
136,0,23,16,1,31,2.8333333333333335,0.0,0.0,0.0,0.344827586206896,0.6551724137931031
135,0,17,40,4,12,1.5384615384615385,0.0,0.05063291139240501,0.025316455696202,0.8987341772151891,0.025316455696202
134,0,15,20,0,36,1.6964285714285714,0.013157894736842,0.0,0.0,0.9868421052631571,0.0
133,0,19,32,8,13,3.074074074074074,0.0,0.608108108108108,0.0,0.0,0.39189189189189105
132,0,24,14,0,30,2.159090909090909,0.29670329670329604,0.0,0.0,0.0,0.703296703296703
131,0,20,27,9,11,1.4893617021276595,0.0,0.266666666666666,0.022222222222222,0.6666666666666661,0.044444444444444
130,0,16,11,8,34,2.8983050847457625,0.6041666666666661,0.041666666666666005,0.041666666666666005,0.041666666666666005,0.27083333333333304
128,0,20,19,10,29,2.709090909090909,0.0,0.0,0.0,0.0,1.0
125,0,24,17,5,27,2.122448979591837,0.0,0.0,0.0,0.46938775510204006,0.530612244897959
107,0,12,12,2,33,3.1333333333333333,0.0,0.33333333333333304,0.5,0.0,0.16666666666666602
124,0,16,40,0,5,1.9661016949152543,0.08928571428571401,0.330357142857142,0.24107142857142802,0.28571428571428503,0.053571428571428006
123,0,16,11,8,34,2.8983050847457625,0.6041666666666661,0.041666666666666005,0.041666666666666005,0.041666666666666005,0.27083333333333304
122,0,16,11,8,34,2.8983050847457625,0.6041666666666661,0.041666666666666005,0.041666666666666005,0.041666666666666005,0.27083333333333304
121,0,37,16,4,53,2.9066666666666667,0.0,0.32653061224489704,0.673469387755102,0.0,0.0
120,0,25,24,12,18,3.16,0.448275862068965,0.551724137931034,0.0,0.0,0.0
