,stars,lands,sorcery,enchant,creature,mv,white,blue,black,red,green
129,2,22,12,0,36,2.1458333333333335,0.382022471910112,0.0,0.617977528089887,0.0,0.0
92,2,22,20,4,29,2.3469387755102042,0.0,0.553571428571428,0.446428571428571,0.0,0.0
35,2,19,24,0,24,0.7857142857142857,0.6551724137931031,0.137931034482758,0.0,0.172413793103448,0.034482758620689
85,2,24,30,6,15,2.823529411764706,0.0,0.0,0.7818181818181811,0.218181818181818,0.0
52,1,24,22,4,25,2.392156862745098,0.0,0.41176470588235203,0.5882352941176471,0.0,0.0
127,1,24,32,8,9,3.215686274509804,0.017094017094017002,0.504273504273504,0.247863247863247,0.23076923076923,0.0
58,1,21,21,4,29,1.7962962962962963,0.0,0.7843137254901961,0.0,0.0,0.21568627450980302
24,1,24,32,8,11,2.9607843137254903,0.0,0.0,1.0,0.0,0.0
96,1,24,25,9,15,3.893617021276596,0.5882352941176471,0.41176470588235203,0.0,0.0,0.0
91,1,16,11,0,34,1.5636363636363637,1.0,0.0,0.0,0.0,0.0
62,1,21,19,0,31,1.62,0.0,0.0,0.0,1.0,0.0
113,1,20,40,4,7,1.6862745098039216,0.38709677419354804,0.0,0.5806451612903221,0.032258064516129004,0.0
49,1,24,22,6,23,2.6470588235294117,0.0,0.592592592592592,0.40740740740740705,0.0,0.0
36,1,24,38,0,5,3.404255319148936,0.31578947368421,0.456140350877192,0.0,0.228070175438596,0.0
77,1,20,42,0,6,1.4705882352941178,0.220338983050847,0.6101694915254231,0.06779661016949101,0.101694915254237,0.0
101,1,26,20,11,20,4.816326530612245,0.134615384615384,0.134615384615384,0.48076923076923006,0.0,0.25
99,1,20,19,4,28,1.7843137254901962,0.0,1.0,0.0,0.0,0.0
106,1,21,31,0,20,1.6274509803921569,0.0,0.0,0.6666666666666661,0.0,0.33333333333333304
17,1,24,12,0,36,5.0,0.0,0.0,0.0,0.08333333333333301,0.9166666666666661
89,1,22,16,0,24,2.175,0.0,0.0,0.7592592592592591,0.0,0.24074074074074
83,1,22,12,4,34,2.811320754716981,0.0,0.0,0.0,0.30000000000000004,0.7000000000000001
1,1,23,24,4,23,1.9230769230769231,0.068965517241379,0.0,0.0,0.206896551724137,0.7241379310344821
70,1,21,21,5,23,2.5,0.0,0.46,0.0,0.0,0.54
9,1,21,15,4,31,1.66,0.318840579710144,0.0,0.0,0.043478260869565,0.637681159420289
65,1,22,18,0,35,2.056603773584906,0.379310344827586,0.0,0.620689655172413,0.0,0.0
